#separator:tab
#html:true
#guid column:1
#tags column:4
jFRZ.jecz9	What is the <b>CIA Triad</b>, and what are the names of the three properties it defines?	The CIA Triad is a general set of Information Security (InfoSec) properties that any system&nbsp;processing, storing, or transmitting&nbsp;information must maintain to be secure. A given system will usually have to strike a balance between satisfying these 3 properties, as some may need to be prioritised more than others.<br><br>The three properties are:<br>-<b> C</b>onfidentiality<br>-<b> I</b>ntegrity<br>- <b>A</b>vailability	week1
"kUq19%v#Td"	What is meant by <b>Information Security</b> (InfoSec)?	<b>Information Security&nbsp;</b>(InfoSec) is the practice of protecting information and its systems (things that handle the information) from unauthorised access, use, disclosure, disruption, modification, or destruction. These systems typically <b>process, store, and transmit</b>&nbsp;information.	defn week1
kI6Yf}1Y8C	In the context of the CIA Triad, what is the property of <i>Confidentiality</i>?	Confidentiality is the property that the information in the system is <b>not </b>made avaialble or disclosed to unauthorised individuals, entities or processes (e.g. malware).<br><br>Equivalently, it is the property that ensures information is accessed&nbsp;<b>only</b>&nbsp;by authorised individuals, entities or processes	CIA confidentiality defn week1
"e#VjtjpAQo"	In the context of the CIA Triad, what is the property of&nbsp;<i>Integrity</i>?	<div><b>Integrity</b> is the property that information is <b>not</b> altered or destroyed in an unauthorised manner.</div><div><br></div><div>Equivalently, it is the property that ensures information remains <b>accurate, complete, and trustworthy</b> throughout its entire life cycle (during processing, storage, and transmission).</div>	CIA defn Integrity week1
J@,:]S0RBK	What is meant by the&nbsp;<i>correctness</i>&nbsp;of data/information?	Data/information is <b>correct</b> if it is both <b>accurate</b> (contains the right value) and <b>complete</b> (nothing is missing)	defn week1
mo_Rxe>Srn	In the context of the CIA Triad, what is the property of&nbsp;<i>Availability, </i>and&nbsp;<b>why </b>is it important?	<b>Availability</b> is the property that ensures information and systems are accessible and usable on demand by an authorised entity. It represents the degree of <i>accessibility</i> of a system's resources.<br><br>For an information system to be useful and serve its purpose, its resources must be available when required, which is what the <b>Availability</b> property requires.	availability CIA defn week1
kY/A-aRPkp	In the context of <b>Information Security</b>, what is the property of <i>Privacy</i>?	<div><b>Privacy</b> is the right of an individual or entity to control how their personal information is collected, used, and shared.</div><div><br></div><div>It is the idea that Information should not be visible or accessible to others unless the owner explicitly allows it/provides consent.</div>	InfoSec privacy week1
erYC3ZBViE	In the context of&nbsp;<b>Information Security</b>, what is the difference between Privacy and Confidentiality?	Confidentiality is about the system preventing unauthorised access to entities/individuals, whereas Privacy is about the individual choosing if their data should be accessible in the first place.	CIA confidentiality InfoSec privacy week1
p{)q)H/=t(	In the context of&nbsp;<b>Information Security</b>, what is the property of <i>Authenticity</i>?	<b>Authenticity</b> is the property that ensures the system can prove that a person, entity, or message is actually who or what they claim to be. It allows the system to verify the truth of a claim so that an imposter cannot pretend to be a legitimate user (e.g. via some authentication system).&nbsp;	authenticity defn InfoSec week1
qB(b<|[q;>	In the context of&nbsp;<b>Information Security</b>, what is the property of&nbsp;<i>Non-repudiation</i>?	<b>Non-repudiation</b> is the property that ensures an entity cannot deny performing a specific action, like performing a transaction or sending a message. It requires the system to generate and maintain evidence (like digital signatures or logs) that links the action specifically to that user.	defn InfoSec non-repudiation week1
jc[~y+[[HV	In the context of&nbsp;<b>Information Security</b>, what is the property of&nbsp;<i>Anonimity</i>?	<i>Anonimity</i>&nbsp;is the property that ensures a person or entity using the system cannot be identified. It also means that an individual’s real identity cannot be derived from the information or activities recorded within the system.	anonimity defn InfoSec week1
